"rep","run","bf_no_rvar","bf_rvar"
79,2,2.6425640625561e-22,1768772.53525639
80,2,1.09467340129701e-18,180082.859962342
81,2,1.8239600450988e-14,2152630585.13178
82,2,3.06692517042274e-19,8682.89405982557
83,2,2.63096686951529e-16,44.8174182617482
84,2,4.69026165707941e-25,31.6947381953735
85,2,1.01121202541514e-18,17422740.0029767
86,2,1.86800664917106e-20,2162.8400228141
87,2,2.53097324974203e-19,4452251062.91077
88,2,2.79169946428415e-17,76110.1921449266
89,2,1.11710873106792e-15,115039314.742088
90,2,1.27258993727004e-20,456141909.300688
91,2,1.61573401707569e-15,152369837.677094
92,2,7.02479174662974e-13,4444867333.03333
93,2,2.8262967460587e-20,2431135103.51227
94,2,3.47342436738165e-18,4487.3097028774
95,2,8.70327648043204e-22,2142726.28849455
96,2,1.09890119697709e-22,2017.29197838814
97,2,1.95060139742736e-19,526029.621208487
98,2,2.84560489616779e-21,412076.078644947
99,2,1.86072311031516e-15,3487.67724993801
100,2,3.5694495582931e-16,91000040041.2565
1,3,2.26013110691733e-18,806365.513287139
2,3,1.40118012323653e-23,232.866111473248
3,3,9.32069912832998e-20,703.24826762741
4,3,4.47391965578419e-16,205907872.89368
5,3,3.3968829658906e-19,4114388576.44426
6,3,3.9496545173737e-18,48971495.7632375
7,3,7.55699069687445e-16,141.513139259754
8,3,4.39732170997189e-18,41942616.0300272
9,3,1.20882669568003e-16,2226140.27844046
10,3,6.05339889179115e-23,1593511688.37359
11,3,1.62187016953618e-20,1043732.53829848
12,3,1.8013455079255e-19,156.769508648299
13,3,1.69067163358467e-14,53549990324.8087
14,3,7.70192795323381e-22,82871.7024106933
15,3,1.08857276194973e-16,3066645580.77779
16,3,1.05603237624598e-18,1726307.39801597
17,3,2.92515845685707e-20,2209334648.36926
18,3,1.72208016474883e-08,22055032.2774962
19,3,1.14850316181582e-18,57580789.7294928
20,3,2.98184421258481e-16,454478836554.029
21,3,3.19674728003848e-17,28639324.0234575
22,3,3.25030568086253e-15,1567371.29963973
23,3,1.58247573920915e-18,3542999.87249721
24,3,2.67563665263357e-16,94437936922385.2
25,3,4.36794374332799e-21,781822.23534936
26,3,3.15283024782558e-11,2121089.61202119
27,3,3.02866986889519e-21,727429.633684511
28,3,7.90875955385229e-17,14677593.4668163
29,3,1.03076815200546e-18,6932236.0651974
30,3,3.69641540652248e-16,82089.2258824653
31,3,4.24885973276993e-17,951716425938.015
32,3,1.26037523431419e-18,26394873353.1228
33,3,2.75574438767548e-22,4679.63493655716
34,3,5.53666919376618e-12,38150257.759023
35,3,1.85940496544533e-15,731590425.638238
36,3,2.10444905949243e-20,3569.89058481802
37,3,4.16167915102307e-19,320997763.807597
38,3,1.35014557136722e-18,1522297.70104213
39,3,1.74830014222904e-15,8650845.92669359
40,3,2.28233689225329e-19,6565.14162941629
