"rep","run","trial","bf_no_rvar","bf_rvar"
5,7,7,6.09324003147113e-23,21753330185.5206
5,7,8,4.34598664962273e-17,31583855.2404028
5,7,9,1.48007514462246e-19,147270478407066368
5,7,10,2.59031994891925e-21,1692868675206141
5,7,11,3.79896867025737e-19,5828134626602.91
5,7,12,8.62190858371514e-24,257146559350631648
5,7,13,2.19374857328963e-20,4885.93606817495
5,7,14,4.33765857473491e-15,4265.84598040278
5,7,15,1.47723426293998e-17,350694.450317763
5,7,16,6.62897240612307e-16,6335827401751932928
5,7,17,1.62165896572832e-16,705252.203715332
5,7,18,1.04123018349826e-19,2345403124048794112
5,7,19,6.83936480580071e-31,22615551829915448
5,7,20,6.46851828515326e-21,4.06120139196226
6,7,1,6.50665301292333e-20,129452960067.232
6,7,2,1.93803415390825e-17,22721207212781204
6,7,3,2.1504398660839e-18,590526329220.406
6,7,4,1.24368922648968e-11,2.95653824863136e+20
6,7,5,2.88432758155714e-09,9.13237823176324e+26
6,7,6,3.52237763087058e-24,20.812980983687
6,7,7,2.53167617939369e-16,23844894649654.2
6,7,8,3.38583081711202e-11,14.165176346831
6,7,9,5.95960142238245e-20,247684615192949856
6,7,10,3.73363402631912e-18,501858409687413120
6,7,11,1.59916109703554e-20,302360260.970785
6,7,12,1.13820283542232e-20,241022452.294041
6,7,13,1.48495225038731e-11,4581246072663.39
6,7,14,2.47095987707446e-25,358960812.546554
6,7,15,2.6022881001489e-17,2755136927.53998
6,7,16,4.65545610134159e-17,3414883741848764928
6,7,17,3.65749657516036e-14,165798358234.32
6,7,18,1.70967096553481e-19,1681563773958737
6,7,19,2.27527190024797e-18,3.69376845966302e+20
6,7,20,1.26002216374368e-17,1227663602.08181
7,7,1,5.64150605081155e-14,176648201022523
7,7,2,1.81063768788204e-10,466903306239.01
7,7,3,3.32073805556262e-20,4273898129973452
7,7,4,6.36188833506223e-15,96186308410082
7,7,5,2.58234784564572e-08,1914415234.59884
7,7,6,1.20494088806968e-24,312260354.373959
7,7,7,3.11372110536108e-21,941289696.600502
7,7,8,1.03367010778628e-19,24398.8390073701
7,7,9,1.38339046164917e-18,389391455017675
7,7,10,6.14230713027936e-17,8032945963.90146
7,7,11,3.5880364498082e-17,3262349825440.45
7,7,12,8.37422498280417e-20,29653158053.8906
7,7,13,4.29084559843833e-14,271668049.652745
7,7,14,4.18620448987586e-23,0.0788074241695051
7,7,15,4.04322234299557e-19,1.1611875302835
7,7,16,2.5896277663857e-07,4476205561856626176
7,7,17,8.56476644517078e-11,25895.2684933474
7,7,18,8.52110809925705e-24,20212916022933.4
7,7,19,3.91292409289543e-21,26728493380.6652
7,7,20,1.75990248723933e-18,36.9358658772637
8,7,1,5.32551420218477e-24,1718102379.87916
8,7,2,5.176928649527e-16,588438865.860277
8,7,3,2.78829749405126e-22,4321263255.10061
8,7,4,1.84184177973641e-08,1845455261999394
8,7,5,1.72966230985842e-08,188169934910584
8,7,6,3.36258124521902e-28,3845638.25110073
8,7,7,1.15994748489714e-21,5758089859.60269
8,7,8,7.65090169771854e-20,5158.68988951103
8,7,9,1.5092774280737e-20,3942007873119.85
8,7,10,2.28820986714539e-17,3625998.54987311
8,7,11,2.13448532971686e-16,5081473805151.17
8,7,12,2.66055608503392e-24,29782507881896.8
8,7,13,1.47575609717547e-17,53688510.2530473
8,7,14,1.751045365639e-24,1446340.56281833
8,7,15,1.06683726475932e-18,0.189956602781731
8,7,16,4.43634891405369e-15,37378703605737422848
8,7,17,9.46747028264804e-18,2.33512455556809
8,7,18,1.18937943178358e-23,174858664600125
8,7,19,1.38113775069784e-24,44717891002.7167
8,7,20,1.5632625620954e-19,57.3932958489575
9,7,1,5.00837603659771e-21,3101694231628.44
9,7,2,1.66976387266048e-17,754450886.670134
9,7,3,3.06108696033661e-23,580690559226868608
